CRASH_NUMB,CITY_TOWN_NAME,CRASH_DATE,CRASH_TIME,CRASH_HOUR,MANR_COLL_DESCR,AMBNT_LIGHT_DESCR,WEATH_COND_DESCR,ROAD_SURF_COND_DESCR,STREET_NUMB,X,Y,LAT,LON,AGE_DRVR_YNGST,AGE_DRVR_OLDEST,CNTY_NAME,CRASH_SEVERITY_DESCR
4322780,CHELSEA,2/3/2017,3:04 AM,03:00AM to 03:59AM,Single vehicle crash,Dark - lighted roadway,Clear,Dry,130,237814.9821,904378.2332,42.38899449,-71.04075338,45-54,45-54,SUFFOLK,Property damage only 
4334478,REVERE,1/14/2017,7:57 PM,07:00PM to 07:59PM,"Sideswipe, same direction",Dark - lighted roadway,Clear,Dry,111,239898.536,908475.4457,42.42577409,-71.01516183,45-54,45-54,SUFFOLK,Property damage only 
4354253,NEW BEDFORD,4/7/2017,6:48 PM,06:00PM to 06:59PM,Angle,Daylight,Clear,Dry,,246773.5936,820860.6251,41.63660068,-70.93862845,25-34,25-34,BRISTOL,Property damage only 
4416794,PALMER,6/17/2017,2:12 PM,02:00PM to 02:59PM,"Sideswipe, opposite direction",Daylight,Cloudy,Dry,,132287.7055,881073.1128,42.17716903,-72.31959562,18-20,55-64,HAMPDEN,Property damage only 
4329931,NATICK,1/26/2017,7:45 AM,07:00AM to 07:59AM,Rear-end,Dawn,Cloudy,Dry,,211459.203,894390.2502,42.29990685,-71.36103187,21-24,55-64,MIDDLESEX,Unknown
4376713,REHOBOTH,4/25/2017,2:01 PM,02:00PM to 02:59PM,Head-on,Daylight,Rain/Clear,Wet,,221443.1877,843561.3749,41.84207376,-71.24181811,16-17,18-20,BRISTOL,Property damage only 
4414727,WORCESTER,8/22/2017,9:43 AM,09:00AM to 09:59AM,Rear-end,Daylight,Clear,Dry,,175786.6843,890290.6451,42.26271287,-71.79346934,45-54,45-54,WORCESTER,Non-fatal injury
4430424,HADLEY,4/11/2017,11:43 AM,11:00AM to 11:59AM,"Sideswipe, same direction",Daylight,Clear,Dry,,113903.3882,901663.9758,42.36072859,-72.54516426,75-84,75-84,HAMPSHIRE,Property damage only 
4429430,PLYMOUTH,9/6/2017,8:37 PM,08:00PM to 08:59PM,Single vehicle crash,Dark - lighted roadway,Rain,Wet,1144,278492.705,840472.4452,41.81064086,-70.55536201,21-24,21-24,PLYMOUTH,Property damage only 
4420511,UXBRIDGE,9/2/2017,9:07 AM,09:00AM to 09:59AM,Angle,Daylight,Clear,Dry,,189614.9217,867854.1878,42.06101605,-71.62546991,16-17,55-64,WORCESTER,Non-fatal injury
4324422,BROOKLINE,2/9/2017,8:48 AM,08:00AM to 08:59AM,Single vehicle crash,Daylight,Snow,Snow,,229478.423,895723.7747,42.3114445,-71.14244181,55-64,55-64,NORFOLK,Property damage only 
4356495,METHUEN,4/13/2017,3:55 AM,03:00AM to 03:59AM,Single vehicle crash,Dark - lighted roadway,Cloudy,Dry,,227807.8753,943910.8121,42.74530016,-71.16037083,25-34,25-34,ESSEX,Non-fatal injury
4451621,DARTMOUTH,9/15/2017,7:07 AM,07:00AM to 07:59AM,Rear-end,Daylight,Rain,Wet,101,245105.4374,817785.4222,41.60900354,-70.95889308,16-17,55-64,BRISTOL,Property damage only 
4471040,WEST BROOKFIELD,11/28/2017,12:18 PM,12:00PM to 12:59PM,Angle,Daylight,Clear/Cloudy,Dry,1,146995.9133,887358.2571,42.23488583,-72.14214828,18-20,25-34,WORCESTER,Property damage only 
4393386,STOUGHTON,5/21/2017,4:38 PM,04:00PM to 04:59PM,Rear-to-rear,Daylight,Clear,Dry,,235357.8583,875205.0547,42.1264695,-71.07236829,25-34,55-64,NORFOLK,Property damage only 
4391500,CAMBRIDGE,7/15/2017,8:46 AM,08:00AM to 08:59AM,Rear-end,Daylight,Cloudy,Dry,279,232301.3035,900850.3606,42.35748089,-71.10791443,,,MIDDLESEX,Unknown
4437561,NORTH ANDOVER,9/25/2017,5:50 AM,05:00AM to 05:59AM,Angle,Dawn,Clear,Dry,,231012.5624,937522.8752,42.68767515,-71.12157363,25-34,35-44,ESSEX,Non-fatal injury
4495399,HOLBROOK,10/5/2017,12:44 AM,12:00AM to 12:59AM,Angle,Dark - lighted roadway,Clear,Dry,128,240197.2106,877635.6204,42.14812247,-71.01367733,21-24,21-24,NORFOLK,Property damage only 
4407330,MILFORD,8/2/2017,7:27 PM,07:00PM to 07:59PM,"Sideswipe, opposite direction",Daylight,Rain/Cloudy,Wet,39,198525.0831,876190.8101,42.13614323,-71.5178418,,,WORCESTER,Not Reported
4406875,NEWTON,7/31/2017,5:13 PM,05:00PM to 05:59PM,Rear-end,Daylight,Clear,Dry,,,,,,55-64,55-64,MIDDLESEX,Non-fatal injury
4352905,DUXBURY,4/13/2017,12:55 PM,12:00PM to 12:59PM,Rear-end,Daylight,Clear,Dry,,264293.4978,867515.0359,42.05539716,-70.72328044,45-54,55-64,PLYMOUTH,Non-fatal injury
